,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,435,543","+19,244","756,017","+1,094","23,072,460","+10,891","9,607,066","22,014",,,,,,North America,,,,,
,,,Asia,,"24,919,497","+54,264","397,386",+676,"23,430,592","+46,427","1,091,519","21,831",,,,,,Asia,,,,,
,,,South America,,"17,856,132","+5,558","463,826",+108,"16,154,042","+4,873","1,238,264","18,862",,,,,,South America,,,,,
,,,Europe,,"33,996,853","+111,891","811,002","+2,137","23,519,347","+73,756","9,666,504","25,343",,,,,,Europe,,,,,
,,,Africa,,"3,910,310","+2,942","103,362",+59,"3,468,969","+3,375","337,979","2,552",,,,,,Africa,,,,,
,,,Oceania,,"51,105",+8,"1,088",,"34,272",+4,"15,745",6,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"114,170,161","+193,907","2,532,696","+4,074","89,680,388","+139,326","21,957,077","90,608","14,647",324.9,,,,All,,,,,
,28,Iraq,"692,241","+3,543","13,383 ",+18,"632,998","+2,820","45,860",373,"16,962",328,"6,810,718","166,887","40,810,326 ",Asia,"593,0496",
,29,Sweden,"657,309",,"12,826 ",,N/A,N/A,N/A,223,"64,819","1,265","5,917,399","583,533","10,140,634 ",Europe,157912,
,30,Pakistan,"578,797","+1,315","12,837 ",+33,"544,406","+2,013","21,554","1,538","2,587",57,"8,912,918","39,845","223,690,464 ",Asia,"38617,42525",
,31,Philippines,"574,247","+2,921","12,289 ",+42,"524,865",+293,"37,093",785,"5,195",111,"8,753,147","79,188","110,535,735 ",Asia,"1928,99513",
,32,Switzerland,"554,932",,"9,961 ",,"507,856",,"37,115",180,"63,813","1,145","5,025,401","577,886","8,696,178 ",Europe,168732,
,33,Bangladesh,"545,831",+407,"8,400 ",+5,"496,107",+609,"41,324",,"3,293",51,"4,030,616","24,315","165,765,220 ",Asia,"30419,73441",
,34,Morocco,"482,994",,"8,608 ",,"468,387",,"5,999",306,"12,985",231,"5,634,712","151,482","37,197,142 ",Africa,"774,3217",
,35,Austria,"457,317","+2,457","8,538 ",+23,"428,904","+1,647","19,875",264,"50,587",944,"5,341,373","590,849","9,040,165 ",Europe,"201,0592",
,36,Serbia,"456,450","+3,210","4,429 ",+15,"400,347",,"51,674",160,"52,380",508,"2,930,139","336,251","8,714,140 ",Europe,"191,9683",
,37,Japan,"430,539","+1,067","7,807 ",+85,"408,020","+1,436","14,712",440,"3,411",62,"8,203,285","64,991","126,221,005 ",Asia,"29316,16815",
,38,Hungary,"424,130","+4,948","14,902 ",+107,"319,691","+1,792","89,537",482,"43,978","1,545","3,632,712","376,674","9,644,170 ",Europe,236473,
,39,UAE,"388,594","+3,434","1,213 ",+15,"379,708","+2,171","7,673",,"38,982",122,"30,439,712","3,053,538","9,968,670 ",Asia,"268,2180",
,40,Jordan,"386,496","+2,584","4,675 ",+25,"346,287","+2,447","35,534",284,"37,635",455,"4,566,735","444,687","10,269,551 ",Asia,"272,1972",
,41,Saudi Arabia,"377,061",+338,"6,488 ",+5,"368,011",+320,"2,562",475,"10,722",184,"13,594,146","386,545","35,168,320 ",Asia,"935,4213",
,42,Lebanon,"369,692",,"4,610 ",,"285,050",,"80,032",915,"54,324",677,"2,988,278","439,113","6,805,266 ",Asia,"181,4762",
,43,Panama,"339,781",,"5,820 ",,"324,836",,"9,125",195,"77,946","1,335","1,891,638","433,945","4,359,167 ",North America,137492,
,44,Slovakia,"306,268","+2,848","7,075 ",+109,"255,300",,"43,893",669,"56,079","1,295","2,037,732","373,116","5,461,384 ",Europe,187723,
,45,Malaysia,"298,315","+2,364","1,121 ",+10,"270,166","+3,320","27,028",190,"9,140",34,"6,138,208","188,072","32,637,502 ",Asia,"10929,1155",
,46,Belarus,"285,959","+1,459","1,966 ",+9,"276,234","+1,491","7,759",,"30,269",208,"4,879,018","516,447","9,447,275 ",Europe,"334,8052",
,47,Ecuador,"282,599",,"15,713 ",,"238,817",,"28,069",524,"15,860",882,"997,361","55,974","17,818,236 ",South America,"631,13418",
,48,Nepal,"274,065",+81,"2,773 ",+2,"270,325",+62,967,,"9,297",94,"2,160,404","73,286","29,478,959 ",Asia,"10810,63114",
,49,Georgia,"270,510",+373,"3,499 ",+14,"264,589",+542,"2,422",,"67,897",878,"2,684,212","673,728","3,984,117 ",Asia,"151,1391",
,50,Bolivia,"247,891","+1,069","11,609 ",+32,"191,950",+869,"44,332",71,"21,048",986,"712,706","60,516","11,777,226 ",South America,"481,01417",
,51,Bulgaria,"245,627",,"10,128 ",,"203,494",,"32,005",378,"35,527","1,465","1,654,270","239,268","6,913,867 ",Europe,286834,
,52,Croatia,"242,617",+520,"5,511 ",+8,"233,890",+342,"3,216",75,"59,341","1,348","1,338,842","327,462","4,088,541 ",Europe,177423,
,53,Dominican Republic,"239,009",+804,"3,093 ",+11,"190,295","+1,132","45,621",219,"21,889",283,"1,203,441","110,213","10,919,236 ",North America,"463,5309",
,54,Azerbaijan,"234,267",+278,"3,218 ",+5,"228,651",+172,"2,398",,"22,969",316,"2,591,235","254,064","10,199,129 ",Asia,"443,1694",
,55,Tunisia,"231,964",,"7,942 ",,"196,945",,"27,077",268,"19,493",667,"972,664","81,739","11,899,686 ",Africa,"511,49812",
,56,Ireland,"218,251",,"4,300 ",,"23,364",,"190,587",135,"43,879",865,"3,505,314","704,737","4,973,929 ",Europe,"231,1571",
,57,Kazakhstan,"212,018",+806,"2,540 ",,"195,752",+631,"13,726",221,"11,204",134,"7,419,449","392,069","18,923,820 ",Asia,"897,4503",
,58,Denmark,"210,732",+520,"2,358 ",+5,"201,848",+317,"6,526",44,"36,298",406,"16,864,538","2,904,865","5,805,619 ",Europe,"282,4620",
,59,Costa Rica,"204,341",,"2,800 ",,"177,099",,"24,442",147,"39,874",546,"669,685","130,680","5,124,632 ",North America,"251,8308",
,60,Lithuania,"197,343",+626,"3,234 ",+8,"183,324","+1,061","10,785",153,"73,168","1,199","2,115,119","784,217","2,697,111 ",Europe,148341,
,61,Kuwait,"189,890",+844,"1,078 ",+6,"178,197","+1,064","10,615",158,"44,039",250,"1,778,076","412,367","4,311,878 ",Asia,"234,0002",
,62,Greece,"189,831","+1,630","6,468 ",+29,"165,718",,"17,645",377,"18,272",623,"5,209,532","501,426","10,389,436 ",Europe,"551,6062",
,63,Slovenia,"189,627",+948,"3,836 ",+13,"175,210","+3,305","10,581",95,"91,205","1,845","909,750","437,564","2,079,126 ",Europe,115422,
,64,Moldova,"184,856","+1,518","3,924 ",+25,"165,489",+601,"15,443",317,"45,895",974,"715,492","177,639","4,027,779 ",Europe,"221,0266",
,65,Palestine,"181,909","+1,061","2,025 ",+6,"166,119",+914,"13,765",110,"35,127",391,"1,159,257","223,855","5,178,613 ",Asia,"282,5574",
,66,Egypt,"181,241",,"10,590 ",,"139,927",,"30,724",90,"1,750",102,"1,000,000","9,653","103,593,955 ",Africa,"5729,782104",
,67,Guatemala,"174,335",+521,"6,374 ",+26,"161,129",+553,"6,832",5,"9,615",352,"916,369","50,539","18,131,879 ",North America,"1042,84520",
,68,Armenia,"171,793",+283,"3,190 ",+7,"163,309",+144,"5,294",,"57,903","1,075","724,606","244,231","2,966,889 ",Asia,179304,
,69,Honduras,"168,911",+668,"4,117 ",+18,"65,873",+448,"98,921",411,"16,878",411,"443,500","44,316","10,007,574 ",North America,"592,43123",
,70,Qatar,"163,197",+460,257 ,,"153,219",+412,"9,721",105,"58,123",92,"1,532,225","545,702","2,807,805 ",Asia,"1710,9252",
,71,Ethiopia,"158,053","+1,006","2,354 ",+14,"134,736",+175,"20,963",377,"1,353",20,"2,128,036","18,217","116,815,749 ",Africa,"73949,62455",
